Name,Position,Birth_Date,Height,Weight
Nick Schultz,D,8/25/1982,6-1 ft,203
Ray Schultz,D,11/14/1976,6-2 ft,215
David Schulz,D,1/3/1986,,
Michael Schumacher,LW,8/25/1993,6-5 ft,203
Maynard Schurman,LW,7/16/1957,6-3 ft,205
Rod Schutt,LW,10/13/1956,5-10 ft,185
Felix Schutz,C,11/3/1987,,
Corey Schwab,G,11/4/1970,6-0 ft,180
Jaden Schwartz,C,6/25/1992,5-10 ft,188
Marek Schwarz,G,4/1/1986,6-0 ft,180
Scott Scissons,C,10/29/1971,6-1 ft,201
Enio Sclisizzi,LW,8/1/1925,5-10 ft,170
Ganton Scott,RW,3/23/1903,5-9 ft,165
John Scott,LW,9/26/1982,6-8 ft,260
Laurie Scott,LW/C,6/19/1900,5-6 ft,155
Richard Scott,LW,8/1/1978,6-2 ft,195
Ron Scott,G,7/21/1960,5-8 ft,155
Travis Scott,G,9/14/1975,6-2 ft,185
Darrel Scoville,D,10/13/1975,6-3 ft,208
Claudio Scremin,D,5/28/1968,6-2 ft,205
Ben Scrivens,G,9/11/1986,6-2 ft,181
Howard Scruton,D,10/6/1962,6-3 ft,190
Rob Scuderi,D,12/30/1978,6-1 ft,212
Ladislav Scurko,C,4/4/1986,,
Michael Sdao,D,8/3/1989,6-4 ft,221
Brent Seabrook,D,4/20/1985,6-3 ft,220
Keith Seabrook,D,8/2/1988,,
Glen Seabrooke,C,9/11/1967,6-0 ft,190
Tyrel Seaman,C,1/6/1994,,
Al Secord,LW,3/3/1958,6-1 ft,205
Daniel Sedin,LW,9/26/1980,6-1 ft,190
Henrik Sedin,C,9/26/1980,6-2 ft,183
Lukas Sedlak,C,2/25/1993,6-0 ft,203
Ron Sedlbauer,LW,10/22/1954,6-3 ft,195
Nick Seeler,D,6/3/1993,,
Steve Seftel,LW,5/14/1968,6-3 ft,200
Justin Sefton,D,4/14/1993,,
Brandon Segal,RW,7/12/1983,6-2 ft,215
Ryan Segalla,D,12/29/1994,,
Dan Seguin,LW,6/7/1948,5-8 ft,165
Steve Seguin,W,4/10/1964,6-2 ft,200
Tyler Seguin,C,1/31/1992,6-1 ft,200
Earl Seibert,D,12/7/1911,6-2 ft,198
Oliver Seibert,C,03/18/1881,,
Dennis Seidenberg,D,7/18/1981,6-0 ft,198
Ric Seiling,RW/C,12/15/1957,6-1 ft,180
Rod Seiling,D,11/14/1944,6-0 ft,195
Aki Seitsonen,C,2/5/1986,,
Jiri Sejba,LW,7/22/1962,5-10 ft,185
Peter Sejna,LW,10/5/1979,5-11 ft,198
Jiri Sekac,LW,6/10/1992,6-1 ft,185
Andrej Sekera,D,6/8/1986,6-0 ft,198
Lubomir Sekeras,D,11/18/1968,6-0 ft,183
Teemu Selanne,RW,7/3/1970,6-0 ft,200
Brit Selby,LW,3/27/1945,5-10 ft,175
Steve Self,C,5/9/1950,5-9 ft,170
Alex Selivanov,RW,3/23/1971,6-0 ft,208
Luke Sellars,D,5/21/1981,6-1 ft,210
Eric Selleck,LW,10/20/1987,6-2 ft,208
Sean Selmser,LW,11/10/1974,6-1 ft,195
Brad Selwood,D,3/18/1948,6-1 ft,200
Alexander Semak,C,2/11/1966,5-10 ft,185
Brandy Semchuk,RW,9/22/1971,6-1 ft,185
Dave Semenko,LW,7/12/1957,6-3 ft,200
Alexei Semenov,D,4/10/1981,6-6 ft,245
Anatoli Semenov,C/LW,3/5/1962,6-2 ft,190
Maxim Semenov,D,2/9/1984,,
Alexander Semin,LW,3/3/1984,6-2 ft,209
Dmitri Semin,C,8/14/1983,,
Vladimir Semjonov,LW,,,
Brett Seney,LW,2/28/1996,5-8 ft,156
Francois Senez,D,3/20/1982,,
George Senick,LW,9/16/1929,5-11 ft,195
Dick Sentes,LW,1/10/1947,6-0 ft,185
Zachary Senyshyn,RW,3/30/1997,6-1 ft,192
Jyrki Seppa,D,11/14/1961,6-1 ft,189
Timo Seppanen,D,7/22/1987,,
Ron Serafini,D,10/31/1953,5-11 ft,180
Mikhail Sergachev,D,6/25/1998,6-3 ft,215
Jeff Serowik,D,1/10/1967,6-1 ft,210
Michal Sersen,D,12/28/1985,,
Andrew Sertich,LW,5/6/1983,,
Brennan Serville,D,6/2/1993,,
George Servinis,LW,4/29/1962,5-11 ft,180
Tom Serviss,C,5/25/1948,5-10 ft,185
Tim Sestito,C,8/28/1984,5-11 ft,195
Tom Sestito,LW,9/28/1987,6-5 ft,228
Devin Setoguchi,RW,1/1/1987,6-0 ft,205
Oliver Setzinger,C,7/11/1983,,
Jaroslav Sevcik,LW,5/15/1965,5-9 ft,170
Cam Severson,LW,1/15/1978,6-1 ft,215
Damon Severson,D,8/7/1994,6-2 ft,205
Brent Severyn,LW,2/22/1966,6-2 ft,211
C.J. Severyn,LW,6/2/1989,,
Pierre Sevigny,LW,9/8/1971,6-0 ft,195
Richard Sevigny,G,4/11/1957,5-8 ft,172
Tyson Sexsmith,G,3/19/1989,,
Ben Sexton,C,6/6/1991,5-11 ft,182
Dan Sexton,RW,4/29/1987,5-9 ft,180
Philippe Seydoux,D,2/23/1985,,
Clark Seymour,D,5/18/1993,,
John Seymour,LW,6/16/1987,,
Michael Sgarbossa,C,7/25/1992,6-0 ft,186
Eddie Shack,LW,2/11/1937,6-1 ft,200
Joe Shack,LW,12/8/1915,5-10 ft,170
Grigory Shafigulin,C,1/13/1985,,
Konstantin Shafranov,RW,9/11/1968,5-11 ft,176
Paul Shakes,D,9/4/1952,5-10 ft,175
Yevgeny Shaldybin,D,7/29/1975,6-2 ft,198
Josh Shalla,LW,9/25/1991,6-1 ft,202
Maxim Shalunov,RW,1/31/1993,,
Brendan Shanahan,LW,1/23/1969,6-3 ft,220
Sean Shanahan,C/RW,2/8/1951,6-3 ft,205
Dave Shand,D,8/11/1956,6-2 ft,200
Daniel Shank,RW,5/12/1967,5-10 ft,190
Chuck Shannon,D,3/22/1916,5-11 ft,192
Darrin Shannon,LW,12/8/1969,6-2 ft,210
Darryl Shannon,D,6/21/1968,6-2 ft,208
Gerry Shannon,LW,10/25/1910,5-11 ft,170
Ryan Shannon,C,3/2/1983,5-9 ft,175
David Shantz,G,5/5/1986,,
Jeff Shantz,C,10/10/1973,6-0 ft,195
Vadim Sharifijanov,LW,12/23/1975,6-0 ft,205
MacGregor Sharp,C,10/1/1985,6-1 ft,185
Patrick Sharp,LW,12/27/1981,6-1 ft,200
Jeff Sharples,D,7/28/1967,6-1 ft,195
Scott Sharples,G,3/1/1968,6-0 ft,180
Glen Sharpley,C,9/6/1956,6-0 ft,190
Jim Sharrow,D,1/31/1985,,
Yegor Shastin,LW,9/10/1982,,
Kevin Shattenkirk,D,1/29/1989,6-0 ft,209
Tyler Shattock,RW,2/10/1990,,
Scott Shaunessy,D/LW,1/22/1964,6-4 ft,220
Andrew Shaw,C,7/20/1991,5-11 ft,179
Brad Shaw,D,4/28/1964,6-0 ft,190
David Shaw,D,5/25/1964,6-2 ft,205
Jim Shaw,G,10/18/1945,6-1 ft,185
Logan Shaw,RW,10/5/1991,6-3 ft,202
Norm Shay,D/RW,02/03/1899,5-9 ft,158
Pat Shea,D,10/29/1912,5-10 ft,190
Patrick Shea,C,3/25/1997,5-10 ft,186
Ryan Shea,D,2/11/1997,6-0 ft,175
Riley Sheahan,C,12/7/1991,6-3 ft,226
Rob Shearer,C,10/19/1976,5-10 ft,190
Conor Sheary,LW,6/8/1992,5-8 ft,175
Doug Shedden,C,4/29/1961,6-0 ft,185
Bobby Sheehan,C,1/11/1949,5-7 ft,155
Neil Sheehy,D,2/9/1960,6-2 ft,214
Tim Sheehy,RW,9/3/1948,6-1 ft,185
Jody Shelley,LW,2/7/1976,6-3 ft,230
Doug Shelton,RW,6/27/1945,5-10 ft,175
Sergei Shemetov,LW,9/3/1984,,
Frank Sheppard,C/LW,10/19/1907,5-6 ft,157
Gregg Sheppard,C,4/23/1949,5-8 ft,170
James Sheppard,C,4/25/1988,6-1 ft,205
Johnny Sheppard,LW,7/23/1903,5-7 ft,165
Ray Sheppard,RW,5/27/1966,6-1 ft,195
John Sherf,LW,4/8/1913,5-11 ft,178
John Sheridan,C,9/18/1954,6-1 ft,190
Wiley Sherman,D,5/24/1995,,
Fred Shero,D,10/23/1925,5-10 ft,175
Jim Sherrit,C,9/29/1948,5-7 ft,170
Gordon Sherritt,D,4/8/1919,6-1 ft,195
Gord Sherven,C,8/21/1963,6-0 ft,185
Igor Shesterkin,G,12/30/1995,6-1 ft,187
Jeff Shevalier,LW,3/14/1974,5-11 ft,180
Jack Shewchuk,D,6/19/1917,6-1 ft,190
Alex Shibicky,RW,5/19/1914,6-0 ft,180
Al Shields,D,5/10/1907,6-0 ft,188
David Shields,D,1/27/1991,6-3 ft,204
Steve Shields,G,7/19/1972,6-3 ft,215
Bill Shill,RW,3/6/1923,6-1 ft,175
Jack Shill,C,1/12/1913,5-9 ft,175
Hunter Shinkaruk,C,10/13/1994,5-10 ft,181
Brendan Shinnimin,C,1/7/1991,5-10 ft,181
Rick Shinske,C,5/31/1955,5-11 ft,165
Steven Shipley,C,4/22/1992,,
Jim Shires,LW,11/15/1945,6-0 ft,180
Sergei Shirokov,RW,3/10/1986,5-10 ft,195
Glen Shirton,D,7/15/1947,5-10 ft,175
Timofei Shishkanov,LW,6/10/1983,6-1 ft,209
Alexei Shkotov,RW,6/22/1984,,
John Shmyr,D,1/2/1945,5-10 ft,180
Paul Shmyr,D,1/28/1946,5-11 ft,170
Bruce Shoebottom,D,8/20/1965,6-2 ft,200
Mark Shoemaker,D,9/28/1997,6-2 ft,208
Devin Shore,C,7/19/1994,6-1 ft,205
Drew Shore,C,1/29/1991,6-3 ft,205
Eddie Shore,D,11/25/1902,5-11 ft,190
Hamby Shore,D/LW,02/12/1886,6-0 ft,175
Nick Shore,C,9/26/1992,6-1 ft,201
Quentin Shore,C,5/25/1994,,
Steve Short,LW,4/6/1954,6-2 ft,210
Mikhail Shostak,C,4/26/1957,,
Mikhail Shtalenkov,G,10/20/1965,6-2 ft,185
Gary Shuchuk,RW,2/17/1967,5-11 ft,190
Ron Shudra,D,11/28/1967,6-2 ft,192
Justin Shugg,LW,12/24/1991,5-11 ft,185
Richard Shulmistra,G,4/1/1971,6-2 ft,185
Ben Shutron,D,6/14/1988,,
Byron Shutt,LW,10/26/1955,6-1 ft,195
Steve Shutt,LW,7/1/1952,5-11 ft,185
Denis Shvidki,RW,11/21/1980,6-2 ft,210
Bob Sicinski,C,11/13/1946,5-9 ft,175
Matt Siddall,RW,9/26/1984,,
Deven Sideroff,RW,4/14/1997,5-11 ft,171
Rustam Sidikov,G,7/5/1985,,
Kirill Sidorenko,C,3/30/1983,,
Peter Sidorkiewicz,G,6/29/1963,5-9 ft,180
Blake Siebenaler,D,2/27/1996,6-0 ft,192
Babe Siebert,LW/D,1/14/1904,5-10 ft,182
Jonas Siegenthaler,D,5/6/1997,6-2 ft,220
Patrick Sieloff,D,5/15/1994,6-1 ft,200
Duncan Siemens,D,9/7/1993,6-3 ft,200
Jaime Sifers,D,1/18/1983,5-11 ft,205
Jonathan Sigalet,D,2/12/1986,6-1 ft,185
Jordan Sigalet,G,2/19/1981,6-1 ft,185
Mike Siklenka,RW,12/18/1979,6-5 ft,240
Dylan Sikura,C,7/1/1995,5-11 ft,149
Stephen Silas,D,6/26/1992,,
Jakob Silfverberg,LW,10/13/1990,6-2 ft,196
Dave Silk,RW,1/1/1958,5-11 ft,190
Zach Sill,C,5/24/1988,6-0 ft,202
Mike Sillinger,C,6/29/1971,5-11 ft,198
Mike Siltala,RW,8/5/1963,5-9 ft,170
Risto Siltanen,D,10/31/1958,5-8 ft,180
Jon Sim,LW,9/29/1977,5-10 ft,195
Trevor Sim,RW,6/9/1970,6-2 ft,192
Martin Simard,RW,6/25/1966,6-1 ft,215
Juraj Simek,LW,9/29/1987,,
Roman Simicek,C,11/4/1971,6-1 ft,190
Petteri Simila,G,4/9/1990,,
Charlie Simmer,LW,3/20/1954,6-3 ft,210
Wayne Simmonds,RW,8/26/1988,6-2 ft,185
Al Simmons,D,9/25/1951,6-0 ft,170
Don Simmons,G,9/13/1931,5-10 ft,150
Gary Simmons,G,7/19/1944,6-2 ft,200
Ben Simon,LW,6/14/1978,6-0 ft,195
Chris Simon,LW,1/30/1972,6-3 ft,233
Cully Simon,D,5/8/1918,5-10 ft,190
Dominik Simon,C,8/8/1994,5-11 ft,176
Jason Simon,LW,3/21/1969,6-1 ft,210
Thain Simon,D,4/24/1922,6-0 ft,200
Todd Simon,C,4/21/1972,5-10 ft,188
Frank Simonetti,D,9/11/1962,6-1 ft,190
Bobby Simpson,LW,11/17/1956,6-0 ft,190
Cliff Simpson,C,4/4/1923,5-11 ft,175
Craig Simpson,LW,2/15/1967,6-2 ft,195
Dillon Simpson,D,,6-2 ft,194
Joe Simpson,D,08/13/1893,5-10 ft,175
Kent Simpson,G,3/26/1992,6-2 ft,198
Reid Simpson,LW,5/21/1969,6-2 ft,216
Todd Simpson,D,5/28/1973,6-3 ft,218
Tom Simpson,RW,8/15/1952,5-9 ft,190
Al Sims,D,4/18/1953,6-0 ft,182
Shane Sims,D,4/30/1988,5-11 ft,192
Reg Sinclair,RW/C,3/6/1925,6-0 ft,165
Jakub Sindel,C,1/24/1986,,
Harry Sinden,D,9/14/1932,5-10 ft,180
Alex Singbush,D,1/31/1914,5-11 ft,180
Ilkka Sinisalo,RW,7/10/1958,6-0 ft,185
Dmitry Sinitsyn,D,6/17/1994,,
Brian Sipotz,D,9/16/1981,,
Ville Siren,D,2/11/1964,6-2 ft,191
Bob Sirois,RW,2/6/1954,6-0 ft,178
Mike Sislo,RW,1/20/1988,5-11 ft,190
Colton Sissons,C,11/5/1993,6-1 ft,200
Darryl Sittler,C,9/18/1950,6-0 ft,190
Gary Sittler,D,5/14/1952,6-1 ft,187
Michal Sivek,C,1/21/1981,6-3 ft,213
Pontus Sjalin,D,6/12/1996,6-0 ft,168
Lars-Erik Sjoberg,D,4/5/1944,5-8 ft,179
Tommy Sjodin,D,8/13/1965,5-11 ft,190
Viktor Sjodin,W,4/21/1988,,
Fredrik Sjostrom,RW,5/6/1983,6-1 ft,218
Bjorn Skaare,C,10/29/1958,6-0 ft,180
Evgeny Skachkov,LW,7/14/1984,,
Jarrod Skalde,C,2/26/1971,6-0 ft,185
Mackenzie Skapski,G,6/15/1994,6-3 ft,192
Randy Skarda,D,5/5/1968,6-1 ft,205
Paul Skidmore,G,7/22/1956,6-0 ft,180
Jack Skille,RW,5/19/1987,6-1 ft,216
Raymie Skilton,D,09/26/1889,5-10 ft,190
Alf Skinner,RW,01/26/1896,5-10 ft,180
Brett Skinner,D,6/28/1983,6-1 ft,183
Jeff Skinner,C,5/16/1992,5-11 ft,200
Larry Skinner,C,4/21/1956,5-11 ft,180
Brady Skjei,D,3/26/1994,6-3 ft,211
Frantisek Skladany,LW,4/22/1982,,
Jaroslav Sklenar,RW,11/22/1982,,
David Skokan,C,12/6/1988,,
Wade Skolney,D,6/24/1981,6-0 ft,197
Simon Skoog,D,2/17/1983,,
Andrei Skopintsev,D,9/28/1971,6-0 ft,185
Warren Skorodenski,G,3/22/1960,5-8 ft,165
Martin Skoula,D,10/28/1979,6-3 ft,226
Glen Skov,C/LW,1/26/1931,6-2 ft,180
Karlis Skrastins,D,7/9/1974,6-2 ft,208
Pavel Skrbek,D,8/9/1978,6-3 ft,217
Petri Skriko,RW,3/13/1962,5-10 ft,174
Rob Skrlac,LW,6/10/1976,6-5 ft,245
Brian Skrudland,C,7/31/1963,6-0 ft,195
Peter Skudra,G,4/24/1973,6-1 ft,189
Alexander Skvortsov,,8/28/1954,,
John Slaney,D,2/7/1972,6-0 ft,189
Jim Slater,C,12/9/1982,6-0 ft,200
Peter Slater,RW,1/31/1948,5-9 ft,170
Rudolf Slavik,RW,,,
Jaccob Slavin,D,5/1/1994,6-2 ft,205
John Sleaver,C,8/18/1934,6-1 ft,180
Mike Sleep,RW,3/13/1955,6-0 ft,180
Jiri Slegr,D,5/30/1971,6-1 ft,210
Louis Sleigher,RW,10/23/1958,5-11 ft,200
Anton Slepyshev,LW,5/13/1994,6-2 ft,187
Mikhail Slitchenko,,,,
Blake Sloan,RW,7/27/1975,5-10 ft,196
Tod Sloan,C/RW,11/30/1927,5-10 ft,152
Tyler Sloan,D,3/15/1981,6-3 ft,205
David Sloane,RW,4/6/1985,6-4 ft,220
Peter Slobodian,D,4/24/1918,6-1 ft,185
Tomas Slovak,D,4/5/1983,,
Ed Slowinski,RW,11/18/1922,5-11 ft,195
Darryl Sly,D,4/3/1939,5-11 ft,185
Matt Smaby,D,10/14/1984,6-6 ft,239
Doug Smail,LW,9/2/1957,5-9 ft,175
Spencer Smallman,RW,9/9/1996,6-0 ft,184
Alex Smart,LW,5/29/1918,5-10 ft,150
Dale Smedsmo,LW,4/23/1951,6-1 ft,195
Richard Smehlik,D,1/23/1970,6-4 ft,222
Ladislav Smid,D,2/1/1986,6-4 ft,210
Don Smillie,LW,9/13/1910,6-0 ft,185
Alexei Smirnov,LW,1/28/1982,6-3 ft,211
Adam Smith,D,11/6/1996,6-1 ft,195
Al Smith,G,11/10/1945,6-1 ft,200
Alex Smith,D,4/2/1902,5-11 ft,176
Alf Smith,RW,06/03/1873,5-7 ft,165
Art Smith,D,11/29/1906,5-10 ft,200
Austin Smith,RW,11/7/1988,,
Barron Smith,D,4/2/1991,,
Barry Smith,C,4/25/1955,5-11 ft,178
Ben Smith,RW,7/11/1988,5-11 ft,198
Billy Smith,G,12/12/1950,5-10 ft,185
Bobby Smith,C,2/12/1958,6-4 ft,210
Brad Smith,RW,4/13/1958,6-1 ft,195
Brandon Smith,D,2/25/1973,6-1 ft,209
Brendan Smith,D,2/8/1989,6-2 ft,211
Brian Smith,LW,12/6/1937,6-0 ft,180
Brian Smith,LW,9/6/1940,5-11 ft,170
Carl Smith,RW,9/18/1917,5-5 ft,150
Clint Smith,C,12/12/1913,5-8 ft,165
Colin Smith,C,6/20/1993,5-10 ft,162
Craig Smith,C,9/5/1989,6-1 ft,208
D.J. Smith,D,5/13/1977,6-1 ft,205
Dallas Smith,D,10/10/1941,5-11 ft,180
Dalton Smith,LW,6/30/1992,6-2 ft,206
Dan Smith,D,10/19/1976,6-2 ft,200
Dennis Smith,D,7/27/1964,5-11 ft,190
Derek Smith,C/LW,7/31/1954,5-11 ft,180
Derek Smith,D,10/13/1984,6-1 ft,197
Derrick Smith,LW,1/22/1965,6-2 ft,215
Des Smith,D,2/22/1914,6-0 ft,185
Don Smith,LW/C,06/03/1888,5-7 ft,160
Don Smith,LW/C,5/4/1929,5-10 ft,165
Doug Smith,C,5/17/1963,5-11 ft,186
Evan Smith,G,2/27/1997,6-6 ft,174
Floyd Smith,RW,5/16/1935,5-10 ft,180
Gary Smith,G,2/4/1944,6-4 ft,215
Gemel Smith,C,4/16/1994,5-10 ft,190
Geoff Smith,D,3/7/1969,6-3 ft,194
Givani Smith,RW,2/28/1998,6-1 ft,205
Glen Smith,RW,3/19/1931,5-8 ft,155
Glenn Smith,D,04/25/1895,5-8 ft,180
Gord Smith,D,11/17/1949,5-10 ft,175
Greg Smith,D,7/8/1955,6-0 ft,195
Guy Smith,RW,1/2/1950,6-1 ft,185
Hooley Smith,C/RW,1/7/1903,5-10 ft,155
Hunter Smith,C,9/11/1995,6-6 ft,208
Jason Smith,G,7/17/1985,,
Jason Smith,D,11/2/1973,6-3 ft,220
Jeremy Smith,G,4/13/1989,6-0 ft,178
Jordan Smith,D,11/4/1985,,
Ken Smith,LW,5/8/1924,5-7 ft,150
Kenny Smith,D,12/31/1981,,
Marcus Smith,D,1/14/1983,,
Mark Smith,C,10/24/1977,5-10 ft,200
Mike Smith,G,3/22/1982,6-4 ft,215
Nakina Smith,C,7/26/1915,5-10 ft,150
Nathan Smith,C,2/9/1982,6-2 ft,190
Nick Smith,C,3/23/1979,6-2 ft,196
Normie Smith,G,3/18/1908,5-7 ft,165
Randy Smith,C,7/7/1965,6-4 ft,200
Reilly Smith,RW,4/1/1991,6-0 ft,185
Rick Smith,D,6/29/1948,5-11 ft,190
Rodger Smith,D,07/26/1896,6-0 ft,175
Ron Smith,D,11/19/1952,6-0 ft,185
Ross Smith,LW,11/20/1953,6-0 ft,185
Sid Smith,LW,7/11/1925,5-10 ft,173
Stan Smith,C,8/13/1917,5-10 ft,165
Steve Smith,D,4/4/1963,5-9 ft,215
Steve Smith,D,4/30/1963,6-4 ft,215
Stu Smith,LW,9/25/1918,5-8 ft,165
Stu Smith,D,3/17/1960,6-1 ft,205
Tommy Smith,C,09/27/1886,5-6 ft,150
Trevor Smith,C,2/8/1985,6-1 ft,195
Vern Smith,D,5/30/1964,6-1 ft,190
Wayne Smith,D,2/12/1943,6-0 ft,195
Wyatt Smith,C,2/13/1977,5-11 ft,205
Zack Smith,C,4/5/1988,6-2 ft,208
Devante Smith-Pelly,RW,6/14/1992,6-0 ft,214
Jerred Smithson,C,2/4/1979,6-3 ft,209
Radek Smolenak,LW,12/3/1986,6-3 ft,180
Bryan Smolinski,C,12/27/1971,6-1 ft,203
Vitali Smolyaninov,LW,8/5/1983,,
Peter Smrek,D,2/16/1979,6-1 ft,215
John Smrke,LW,2/25/1956,5-11 ft,205
Stan Smrke,LW,9/2/1928,5-11 ft,180
Stan Smyl,RW,1/28/1958,5-8 ft,185
Rod Smylie,W,09/28/1895,5-10 ft,170
Brad Smyth,RW,3/13/1973,6-0 ft,200
Greg Smyth,D,4/23/1966,6-3 ft,212
Kevin Smyth,LW,11/22/1973,6-2 ft,217
Ryan Smyth,LW,2/21/1976,6-1 ft,192
Bob Sneddon,G,5/31/1944,6-2 ft,190
Carl Sneep,D,11/5/1987,6-4 ft,210
Chris Snell,D,5/12/1971,5-11 ft,200
Ron Snell,RW,8/11/1948,5-10 ft,158
Ted Snell,RW,5/28/1946,5-9 ft,190
Niko Snellman,LW,3/12/1988,,
Harold Snepsts,D,10/24/1954,6-3 ft,210
Aaron Snow,LW,5/20/1988,,
Garth Snow,G,7/28/1969,6-3 ft,200
Sandy Snow,RW,11/11/1946,6-0 ft,175
Dave Snuggerud,RW,6/20/1966,6-0 ft,190
Luc Snuggerud,D,9/18/1995,6-0 ft,180
Dan Snyder,C,2/23/1978,6-0 ft,190
Daniil Sobchenko,C,4/13/1991,,
Dennis Sobchuk,C,1/12/1954,6-2 ft,176
Gene Sobchuk,LW/C,2/19/1951,5-9 ft,160
Markus Soberg,RW,4/22/1995,6-0 ft,187
Steffen Soberg,G,8/6/1993,,
Vladimir Sobotka,C,7/2/1987,5-10 ft,197
Andreas Soderberg,D,6/16/1996,6-4 ft,200
Carl Soderberg,C,10/12/1985,6-3 ft,210
Christian Soderstrom,LW,10/13/1980,,
Linus Soderstrom,G,8/23/1996,6-3 ft,187
Tommy Soderstrom,G,7/17/1969,5-7 ft,157
Doug Soetaert,G,4/21/1955,6-0 ft,180
Matias Sointu,RW,2/10/1990,,
Dmitry Sokolov,RW,4/14/1998,5-11 ft,220
Cody Sol,D,2/11/1991,,
Ilja Solarev,LW,8/2/1982,,
Jedd Soleway,C,5/12/1994,,
Ken Solheim,LW,3/27/1961,6-3 ft,210
Bob Solinger,W,12/23/1925,5-9 ft,170
Doyle Somerby,D,7/4/1994,,
Art Somers,C,1/19/1902,5-5 ft,167
Radovan Somik,RW,5/5/1977,6-2 ft,194
Roy Sommer,LW/C,4/5/1957,6-0 ft,185
Otto Somppi,C,1/12/1998,6-0 ft,189
Andong Song,D,1/31/1997,6-0 ft,161
Tom Songin,RW,12/20/1953,6-3 ft,195
Glen Sonmor,LW,4/22/1929,5-11 ft,165
Brett Sonne,C/LW,5/16/1989,,
Martin Sonnenberg,LW,1/23/1978,6-0 ft,197
Vili Sopanen,RW,10/21/1987,,
Brent Sopel,D,1/7/1977,6-2 ft,205
Marcus Sorensen,RW,4/7/1992,,
Nick Sorensen,RW,10/23/1994,6-1 ft,182
Lee Sorochan,D,9/9/1975,5-11 ft,210
Ilya Sorokin,G,8/4/1995,6-2 ft,167
John Sorrell,LW,1/16/1906,5-11 ft,155
Nikita Soshnikov,RW,10/14/1993,5-11 ft,190
Oleg Sosunov,D,4/13/1998,6-8 ft,230
Carson Soucy,D,7/27/1994,,
Christian Soucy,G,9/14/1970,5-11 ft,160
J.F. Soucy,C,3/25/1983,,
Sheldon Souray,D,7/13/1976,6-4 ft,231
Dirk Southern,C,8/9/1983,,
Jordon Southorn,D,5/15/1990,,
Tyler Soy,C,2/10/1997,5-11 ft,174
Jaroslav Spacek,D,2/11/1974,6-0 ft,210
Michael Spacek,RW,4/9/1997,5-11 ft,187
Nick Spaling,C,9/19/1988,6-1 ft,198
Dan Spang,D,8/16/1983,,
Martin Spanhel,LW,7/1/1977,6-2 ft,206
Garret Sparks,G,6/28/1993,6-2 ft,200
Emory Sparrow,RW/C,09/15/1898,5-11 ft,180
Fred Speck,C,7/22/1947,5-9 ft,160
Bill Speer,D,3/20/1942,5-11 ft,205
Blake Speers,C,1/2/1997,5-11 ft,185
Ted Speers,RW,1/28/1961,5-11 ft,200
Thomas Spelling,RW,2/9/1993,,
Gordon Spence,LW,07/25/1897,5-7 ft,150
Russell Spence,C,1/1/1982,,
Brian Spencer,LW,9/3/1949,5-11 ft,185
Irv Spencer,D,12/4/1937,5-10 ft,180
Matthew Spencer,D,3/24/1997,6-1 ft,203
Steven Spencer,D,6/16/1982,,
Chris Speyer,D,2/6/1907,5-10 ft,170
Jason Spezza,C,6/13/1983,6-3 ft,210
Matthew Spiller,D,2/7/1983,6-5 ft,235
Steven Spinner,RW,12/15/1995,5-11 ft,196
Vasili Spiridinov,D,,,
Red Spooner,G,8/24/1910,5-8 ft,170
Ryan Spooner,C,1/30/1992,5-10 ft,184
James Spratt,G,11/10/1985,,
Corey Spring,RW,5/31/1971,6-4 ft,214
Dan Spring,C,10/31/1951,6-0 ft,180
Don Spring,D,6/15/1959,5-11 ft,195
Frank Spring,RW,10/19/1949,6-3 ft,216
Jesse Spring,D,1/18/1901,6-0 ft,185
Daniel Sprong,RW,3/17/1997,6-0 ft,180
Ryan Sproul,D,1/13/1993,6-4 ft,211
Andy Spruce,LW,4/17/1954,5-11 ft,178
Janis Sprukts,C,1/31/1982,6-3 ft,235
Julien Sprunger,RW,1/4/1986,,
Jared Spurgeon,D,11/29/1989,5-9 ft,164
Tyler Spurgeon,C,4/10/1986,,
Tomas Srsen,RW,8/25/1966,5-11 ft,180
Martin St. Amour,LW,1/30/1970,6-3 ft,194
Michael St. Croix,C,4/10/1993,,
Rick St. Croix,G,1/3/1955,5-10 ft,160
Frédéric St. Denis,D,1/23/1986,5-11 ft,190
Bruno St. Jacques,D,8/22/1980,6-2 ft,216
Andre St. Laurent,C,2/16/1953,5-10 ft,180
Dollard St. Laurent,D,5/12/1929,5-11 ft,205
Sam St. Laurent,G,2/16/1959,5-10 ft,190
Martin St. Louis,RW,6/18/1975,5-8 ft,180
Frank St. Marseille,RW,12/14/1939,5-11 ft,180
Martin St. Pierre,C,8/11/1983,5-9 ft,187
Claude St. Sauveur,C,1/2/1952,6-1 ft,185
Eric Staal,C,10/29/1984,6-4 ft,208
Jared Staal,RW,8/21/1990,6-4 ft,210
Jordan Staal,C,9/10/1988,6-4 ft,220
Marc Staal,D,1/13/1987,6-4 ft,209
Ron Stackhouse,D,8/26/1949,6-3 ft,210
Ted Stackhouse,D,11/02/1894,6-1 ft,200
Drew Stafford,RW,10/30/1985,6-2 ft,214
Garrett Stafford,D,1/28/1980,6-1 ft,207
Butch Stahan,D,10/29/1918,6-1 ft,195
Tyler Stahl,D,1/29/1992,,
Steve Staios,D,7/28/1973,6-1 ft,200
Matt Stajan,C,12/19/1983,6-1 ft,195
