Name,Position,Birth_Date,Height,Weight
Marc Boileau,C,9/3/1932,5-11 ft,170
Patrick Boileau,D,2/22/1975,6-0 ft,202
Rene Boileau,C,5/18/1904,5-10 ft,160
Fred Boimistruck,D,1/14/1962,5-11 ft,190
Danny Bois,RW,6/1/1983,6-0 ft,196
Daniel Boisclair,G,11/2/1982,,
Gilles Boisvert,G,2/15/1933,5-8 ft,152
Serge Boisvert,RW,6/1/1959,5-9 ft,172
Claude Boivin,LW,3/1/1970,6-2 ft,200
Leo Boivin,D,8/2/1932,5-8 ft,183
Nicholas Boka,D,9/8/1997,6-0 ft,197
Mike Boland,RW,12/16/1949,5-10 ft,183
Mike Boland,D,10/29/1954,6-0 ft,190
Ivan Boldirev,C,8/15/1949,6-0 ft,190
Tyler Boldt,D,1/3/1984,,
Alexandre Bolduc,C,6/26/1985,6-3 ft,200
